date,close,upside,downside
17-Oct-08,24.76,24.76,24.76
16-Oct-08,25.7,25.7,25.7
15-Oct-08,24.85,24.85,24.85
14-Oct-08,25.31,25.31,25.31
11-Oct-08,25.24,25.24,25.24
10-Oct-08,25.73,25.73,25.73
9-Oct-08,25.61,25.61,25.61
8-Oct-08,27.43,27.43,27.43
7-Oct-08,28.27,28.27,28.27
4-Oct-08,28.4,28.4,28.4
3-Oct-08,28.89,28.89,28.89
2-Oct-08,28.09,28.09,28.09
1-Oct-08,27.59,27.59,27.59
30-Sep-08,27.76,27.76,27.76
27-Sep-08,27.05,27.05,27.05
26-Sep-08,26.24,26.24,26.24
25-Sep-08,25.68,25.68,25.68
24-Sep-08,25.5,25.5,25.5
23-Sep-08,25.67,25.67,25.67
20-Sep-08,26.78,26.78,26.78
19-Sep-08,26.31,26.31,26.31
18-Sep-08,25.71,25.71,25.71
17-Sep-08,24.77,24.77,24.77
16-Sep-08,25.7,25.7,25.7
13-Sep-08,26.18,26.18,26.18
12-Sep-08,23.95,23.95,23.95
11-Sep-08,25.8,25.8,25.8
10-Sep-08,26.2,26.2,26.2
9-Sep-08,25.07,25.07,25.07
6-Sep-08,24.82,24.82,24.82
5-Sep-08,25.55,25.55,25.55
4-Sep-08,25.77,25.77,25.77
3-Sep-08,24.25,24.25,24.25
30-Aug-08,22,22,22
29-Aug-08,21.69,21.69,21.69
28-Aug-08,22.37,22.37,22.37
27-Aug-08,18.26,18.26,18.26
26-Aug-08,19.11,19.11,19.11
23-Aug-08,19.48,19.48,19.48
22-Aug-08,18.19,18.19,18.19
21-Aug-08,17.87,17.87,17.87
20-Aug-08,19,19,19
19-Aug-08,20.22,20.22,20.22
16-Aug-08,21.5,21.5,21.5
15-Aug-08,21.76,21.76,21.76
14-Aug-08,22.11,22.11,22.11
13-Aug-08,22.29,22.29,22.29
12-Aug-08,23.87,23.87,23.87
9-Aug-08,25.85,25.85,25.85
8-Aug-08,25.73,25.73,25.73
7-Aug-08,26.46,26.46,26.46
6-Aug-08,25.84,25.84,25.84
5-Aug-08,25.43,25.43,25.43
2-Aug-08,23.4,23.4,23.4
1-Aug-08,22,22,22
31-Jul-08,18.82,18.82,18.82
30-Jul-08,19.96,19.96,19.96
29-Jul-08,20.62,20.62,20.62
26-Jul-08,19.51,19.51,19.51
25-Jul-08,19.68,19.68,19.68
24-Jul-08,21.5,21.5,21.5
23-Jul-08,22.51,22.51,22.51
22-Jul-08,23.29,23.29,23.29
19-Jul-08,24.05,24.05,24.05
18-Jul-08,24,24,24
17-Jul-08,22.7,22.7,22.7
16-Jul-08,23.02,23.02,23.02
15-Jul-08,21.43,21.43,21.43
12-Jul-08,21.64,21.64,21.64
11-Jul-08,22.14,22.14,22.14
10-Jul-08,21.36,21.36,21.36
9-Jul-08,22.63,22.63,22.63
8-Jul-08,24.79,24.79,24.79
5-Jul-08,25.3,25.3,25.3
4-Jul-08,26.16,26.16,26.16
2-Jul-08,24.72,24.72,24.72
1-Jul-08,23.74,23.74,23.74
28-Jun-08,22.73,22.73,22.73
27-Jun-08,22.51,22.51,22.51
26-Jun-08,22.79,22.79,22.79
25-Jun-08,22.04,22.04,22.04
24-Jun-08,21.95,21.95,21.95
21-Jun-08,21.64,21.64,21.64
20-Jun-08,21,21,21
19-Jun-08,21.07,21.07,21.07
18-Jun-08,21.39,21.39,21.39
17-Jun-08,21.15,21.15,21.15
14-Jun-08,21.13,21.13,21.13
13-Jun-08,19.85,19.85,19.85
12-Jun-08,19.78,19.78,19.78
11-Jun-08,19.65,19.65,19.65
10-Jun-08,18.85,18.85,18.85
7-Jun-08,19.64,19.64,19.64
6-Jun-08,17.52,17.52,17.52
5-Jun-08,16.46,16.46,16.46
4-Jun-08,15.22,15.22,15.22
3-Jun-08,15.22,15.22,15.22
31-May-08,15.69,15.69,15.69
30-May-08,16.71,16.71,16.71
29-May-08,16.61,16.61,16.61
28-May-08,17.07,17.07,17.07
24-May-08,18.19,18.19,18.19
23-May-08,18.89,18.89,18.89
22-May-08,18.32,18.32,18.32
21-May-08,18,18,18
20-May-08,19.3,19.3,19.3
17-May-08,18.64,18.64,18.64
16-May-08,21.27,21.27,21.27
15-May-08,21.6,21.6,21.6
14-May-08,20.8,20.8,20.8
13-May-08,20.04,20.04,20.04
10-May-08,20.27,20.27,20.27
9-May-08,20.05,20.05,20.05
8-May-08,20.98,20.98,20.98
7-May-08,20.81,20.81,20.81
6-May-08,21.41,21.41,21.41
3-May-08,21.3,21.3,21.3
2-May-08,20.64,20.64,20.64
1-May-08,23.16,23.16,23.16
30-Apr-08,22.57,22.57,22.57
29-Apr-08,22.86,22.86,22.86
26-Apr-08,21.9,21.9,21.9
25-Apr-08,21.2,21.2,21.2
24-Apr-08,21.13,21.13,21.13
23-Apr-08,21.18,21.18,21.18
22-Apr-08,22.27,22.27,22.27
19-Apr-08,23.1,23.1,23.1
18-Apr-08,24.27,24.27,24.27
17-Apr-08,24.99,24.99,24.99
16-Apr-08,25.57,25.57,25.57
15-Apr-08,25.87,25.87,25.87
12-Apr-08,26.33,26.33,26.33
11-Apr-08,26.2,26.2,26.2
10-Apr-08,25.43,25.43,25.43
9-Apr-08,25.81,25.81,25.81
8-Apr-08,25.22,25.22,25.22
4-Apr-08,24.17,24.17,24.17
3-Apr-08,26.16,26.16,26.16
2-Apr-08,26.7,26.7,26.7
1-Apr-08,27.12,27.12,27.12
29-Mar-08,26.89,26.89,26.89
28-Mar-08,28.01,28.01,28.01
27-Mar-08,28.09,28.09,28.09
26-Mar-08,27.65,27.65,27.65
25-Mar-08,24.6,24.6,24.6
22-Mar-08,23.18,23.18,23.18
21-Mar-08,23.22,23.22,23.22
20-Mar-08,23.12,23.12,23.12
19-Mar-08,22.9,22.9,22.9
18-Mar-08,22.99,22.99,22.99
15-Mar-08,21.74,21.74,21.74
14-Mar-08,21.75,21.75,21.75
13-Mar-08,22.32,22.32,22.32
12-Mar-08,23.3,23.3,23.3
11-Mar-08,22.49,22.49,22.49
8-Mar-08,19.8,19.8,19.8
7-Mar-08,20,20,20
6-Mar-08,20.25,20.25,20.25
5-Mar-08,20.5,20.5,20.5
4-Mar-08,20.99,20.99,20.99
1-Mar-08,24.58,24.58,24.58
